OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
Government US Virgin Islands,USVIST-03Q4STC2-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-2,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC2-3-FY2003-Q2-0,Sample,3/25/03,,2.3,,USVIST-STC-2,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC2-3-FY2004-Q1-0,Sample,12/17/03,,1.4,,USVIST-STC-2,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC2-3-FY2003-Q3-0,Sample,6/13/03,,2,,USVIST-STC-2,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC35A-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-35A,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC20-3-FY2003-Q3-0,Sample,6/17/03,,9.3,,USVIST-STC-20,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC20-3-FY2003-Q4-0,Sample,7/30/03,,9.11,,USVIST-STC-20,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC20-3-FY2004-Q1-0,Sample,12/19/03,,10.2,,USVIST-STC-20,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC35A-3-FY2004-Q1-0,Sample,12/17/03,,4.17,,USVIST-STC-35A,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC35A-3-FY2003-Q3-0,Sample,6/13/03,,5.6,,USVIST-STC-35A,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC20-3-FY2003-Q2-0,Sample,3/25/03,,9.2,,USVIST-STC-20,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC19-3-FY2003-Q3-0,Sample,6/17/03,,10.3,,USVIST-STC-19,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC19-3-FY2003-Q2-0,Sample,3/25/03,,9,,USVIST-STC-19,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC19-3-FY2003-Q4-0,Sample,7/30/03,,10.4,,USVIST-STC-19,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC19-3-FY2004-Q1-0,Sample,12/19/03,,7.4,,USVIST-STC-19,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC10-3-FY2003-Q2-0,Sample,3/25/03,,1.8,,USVIST-STC-10,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC10-3-FY2003-Q3-0,Sample,6/13/03,,1.9,,USVIST-STC-10,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC10-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-10,,,,Fecal Coliform,1,#/100ml
Government US Virgin Islands,USVIST-04Q1STC10-3-FY2004-Q1-0,Sample,12/17/03,,1.5,,USVIST-STC-10,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC35-3-FY2003-Q2-0,Sample,3/25/03,,2.8,,USVIST-STC-35,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC35-3-FY2003-Q3-0,Sample,6/13/03,,2.9,,USVIST-STC-35,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC35-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-35,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC35-3-FY2004-Q1-0,Sample,12/17/03,,4,,USVIST-STC-35,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC36-3-FY2003-Q2-0,Sample,3/25/03,,7.5,,USVIST-STC-36,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC36-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-36,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC36-3-FY2004-Q1-0,Sample,12/17/03,,7,,USVIST-STC-36,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC36-3-FY2003-Q3-0,Sample,6/13/03,,3.5,,USVIST-STC-36,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC37-3-FY2003-Q2-0,Sample,3/25/03,,5.3,,USVIST-STC-37,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC37-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-37,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC37-3-FY2004-Q1-0,Sample,12/17/03,,6,,USVIST-STC-37,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC37-3-FY2003-Q3-0,Sample,6/13/03,,8.1,,USVIST-STC-37,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q3STC5-3-FY2003-Q3-0,Sample,6/13/03,,2.7,,USVIST-STC-5,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC5-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-5,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC5-3-FY2004-Q1-0,Sample,12/17/03,,2,,USVIST-STC-5,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC5-3-FY2003-Q2-0,Sample,3/25/03,,2.3,,USVIST-STC-5,,,,Fecal Coliform,81,#/100ml
Government US Virgin Islands,USVIST-03Q3STC40-3-FY2003-Q3-0,Sample,6/13/03,,2.7,,USVIST-STC-40,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q2STC40-3-FY2003-Q2-0,Sample,3/25/03,,2.1,,USVIST-STC-40,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC40-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-40,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC40-3-FY2004-Q1-0,Sample,12/17/03,,2,,USVIST-STC-40,,,,Fecal Coliform,22,#/100ml
Government US Virgin Islands,USVIST-03Q2STC47-3-FY2003-Q2-0,Sample,3/25/03,,2.2,,USVIST-STC-47,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-04Q1STC47-3-FY2004-Q1-0,Sample,12/17/03,,1,,USVIST-STC-47,,,,Fecal Coliform,0,#/100ml
Government US Virgin Islands,USVIST-03Q4STC47-3-FY2003-Q4-0,Sample,7/28/03,,,,USVIST-STC-47,,,,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-21_20040922_04Q4STC21-3_6839,Sample-Routine,9/22/04,Surface,4.7,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-21,Spoils Island (Ruth Island),17.687233,-64.764933,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-32_20040324_04Q2STC32-3,Sample-Routine,3/24/04,Surface,1.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-32,Cane Bay,17.773483,-64.811817,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-40_20041117_05Q1STC40-3,Sample-Routine,11/17/04,Surface,3.9,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-40,St. Croix Marine,17.748217,-64.698483,Fecal Coliform,4,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-44_20040914_04Q4STC44-3_6761,Sample-Routine,9/14/04,Surface,1.2,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-44,Protestant Cay Beach,17.749267,-64.703782,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-4_20040325_04Q2STC4-3,Sample-Routine,3/25/04,Surface,1.72,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-4,Tamarind Reef Lagoon,17.759883,-64.668415,Fecal Coliform,15,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-38_20041118_05Q1STC38-3_7661,Sample-Routine,11/18/04,Surface,4.3,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-38,Christiansted Harbor Entrance East,17.757367,-64.69515,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-35_20040622_04Q3STC35-3_6658,Sample-Routine,6/22/04,Surface,2.53,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-35,Long Reef Forereef West,17.764783,-64.7296,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-47_20040324_04Q2STC47-3_6040,Sample-Routine,3/24/04,Surface,0.91,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-47,Mill Harbor Condominium Beach,17.75565,-64.720233,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-35_20041118_05Q1STC35-3,Sample-Routine,11/18/04,Surface,4.6,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-35,Long Reef Forereef West,17.764783,-64.7296,Fecal Coliform,2,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-36_20040622_04Q3STC36-3_6637,Sample-Routine,6/22/04,Surface,5.7,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-36,Long Reef Fore reef East,17.760283,-64.701033,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-35_20040622_04Q3STC35-3,Sample-Routine,6/22/04,Surface,2.53,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-35,Long Reef Forereef West,17.764783,-64.7296,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-27_20040923_04Q4STC27-3,Sample-Routine,9/23/04,Surface,2.41,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-27,Sandy Point Public Beach,17.692033,-64.89365,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-33A_20040923_04Q4STC33A-3_6878,Sample-Routine,9/23/04,Surface,2.21,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-33A,Salt River (Columbus Landing Beach),17.779917,-64.7586,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-39_20040621_04Q3STC39-3,Sample-Routine,6/21/04,Surface,3.02,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-39,Altona Lagoon Inlet,17.749917,-64.696333,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-21_20040323_04Q2STC21-3,Sample-Routine,3/23/04,Surface,3.7,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-21,Spoils Island (Ruth Island),17.687233,-64.764933,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-45_20040324_04Q2STC45-3_6025,Sample-Routine,3/24/04,Surface,2.4,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-45,Christiansted Harbor,17.750033,-64.705467,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-14B_20040922_04Q4STC14B-3,Sample-Routine,9/22/04,Surface,2.78,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-14B,Halfpenny Back reef,17.702633,-64.700667,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-43_20040621_04Q3STC43-3_6583,Sample-Routine,6/21/04,Surface,2.1,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-43,Water Gut Storm Drain,17.747483,-64.7074,Fecal Coliform,1,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-28_20041116_05Q1STC28-3_7527,Sample-Routine,11/16/04,Surface,2.5,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-28,Frederiksted Pier,17.713917,-64.884617,Fecal Coliform,2,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-1_20040914_04Q4STC1-3,Sample-Routine,9/14/04,Surface,1.52,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-1,Altona Lagoon Recreation Beach,17.753533,-64.695667,Fecal Coliform,13,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-28_20040923_04Q4STC28-3,Sample-Routine,9/23/04,Surface,2.65,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-28,Frederiksted Pier,17.713917,-64.884617,Fecal Coliform,14,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-7_20040325_04Q2STC7-3_6076,Sample-Routine,3/25/04,Surface,2.16,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-7,Buck Island Anchorage,17.789817,-64.613667,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-6_20040914_04Q4STC6-3_6800,Sample-Routine,9/14/04,Surface,1.9,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-6,Buck Island Beach,17.786645,-64.627925,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-24B_20040324_04Q2STC24B-3_5980,Sample-Routine,3/24/04,Surface,2.6,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-24B,Rum Plant Outfall,17.682233,-64.818783,Fecal Coliform,20,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-3_20041117_05Q1STC3-3,Sample-Routine,11/17/04,Surface,2.9,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-3,Buccaneer Hotel,17.757333,-64.682817,Fecal Coliform,47,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-12_20040922_04Q4STC12-3_6806,Sample-Routine,9/22/04,Surface,1.1,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-12,Grapetree Bay (Divi Hotel),17.741167,-64.604733,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-17_20041116_05Q1STC17-3_7578,Sample-Routine,11/16/04,Surface,7.56,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-17,"HOVENSA West Turning Basin, NW Corner",17.69895,-64.754017,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-OFF3_20041116_05Q1COF3-2_7540,Sample-Routine,11/16/04,Surface,,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-OFF3,STC-OFF3,17.66099,-64.92943,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-1_20040325_04Q2STC1-3,Sample-Routine,3/25/04,Surface,2.3,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-1,Altona Lagoon Recreation Beach,17.753533,-64.695667,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-16_20040922_04Q4STC16-3,Sample-Routine,9/22/04,Surface,9.8,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-16,"HOVENSA East Turning Basin, NW Corner",17.7001,-64.748683,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-35_20041118_05Q1STC35-3_7670,Sample-Routine,11/18/04,Surface,4.6,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-35,Long Reef Forereef West,17.764783,-64.7296,Fecal Coliform,2,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-39_20040621_04Q3STC39-3_6634,Sample-Routine,6/21/04,Surface,3.02,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-39,Altona Lagoon Inlet,17.749917,-64.696333,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-17_20040623_04Q3STC17-3,Sample-Routine,6/23/04,Surface,5.6,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-17,"HOVENSA West Turning Basin, NW Corner",17.69895,-64.754017,Fecal Coliform,13,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-25_20040324_04Q2STC25-3,Sample-Routine,3/24/04,Surface,3.3,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-25,Long Point,17.676433,-64.837883,Fecal Coliform,28,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-27_20041116_05Q1STC27-3,Sample-Routine,11/16/04,Surface,1.8,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-27,Sandy Point Public Beach,17.692033,-64.89365,Fecal Coliform,4,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-22A_20041116_05Q1STC22A-3,Sample-Routine,11/16/04,Surface,8.16,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-22A,Treatment Plant (POTW) Outfall,17.67865,-64.7728,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-36_20041118_05Q1STC36-3_7664,Sample-Routine,11/18/04,Surface,3.4,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-36,Long Reef Fore reef East,17.760283,-64.701033,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-25_20041116_05Q1STC25-3_7547,Sample-Routine,11/16/04,Surface,1.9,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-25,Long Point,17.676433,-64.837883,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-28_20040923_04Q4STC28-3_6896,Sample-Routine,9/23/04,Surface,2.65,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-28,Frederiksted Pier,17.713917,-64.884617,Fecal Coliform,14,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-35A_20041118_05Q1STC35A-3_7667,Sample-Routine,11/18/04,Surface,3.4,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-35A,LBJ (Pump Station) Outfall,17.759567,-64.71495,Fecal Coliform,1,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-15_20040323_04Q2STC15A-3_5942,Sample-Routine,3/23/04,Surface,3.4,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-15,Cane Garden Bay,17.7,-64.738533,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-45_20040621_04Q3STC45-3_6580,Sample-Routine,6/21/04,Surface,5.2,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-45,Christiansted Harbor,17.750033,-64.705467,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-29_20040923_04Q4STC29-3,Sample-Routine,9/23/04,Surface,2.64,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-29,Frederiksted Public Beach,17.7162,-64.884433,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-29_20040623_04Q3STC29-3_6740,Sample-Routine,6/23/04,Surface,1.88,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-29,Frederiksted Public Beach,17.7162,-64.884433,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-3_20040621_04Q3STC3-3,Sample-Routine,6/21/04,Surface,2.3,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-3,Buccaneer Hotel,17.757333,-64.682817,Fecal Coliform,2,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-32_20040622_04Q3STC32-3,Sample-Routine,6/22/04,Surface,3.9,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-32,Cane Bay,17.773483,-64.811817,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-47_20040914_04Q4STC47-3_6758,Sample-Routine,9/14/04,Surface,1.4,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-47,Mill Harbor Condominium Beach,17.75565,-64.720233,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-25_20040922_04Q4STC25-3,Sample-Routine,9/22/04,Surface,1.98,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-25,Long Point,17.676433,-64.837883,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-4_20040621_04Q3STC4-3,Sample-Routine,6/21/04,Surface,2.1,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-4,Tamarind Reef Lagoon,17.759883,-64.668415,Fecal Coliform,18,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-40_20040325_04Q2STC40-3,Sample-Routine,3/25/04,Surface,1.88,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-40,St. Croix Marine,17.748217,-64.698483,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-37_20040923_04Q4STC37-3_6860,Sample-Routine,9/23/04,Surface,2.67,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-37,Christiansted Harbor Entrance West,17.755317,-64.700283,Fecal Coliform,2,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-20_20041116_05Q1STC20-3,Sample-Routine,11/16/04,Surface,5.1,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-20,Alumina Plant Dock,17.707883,-64.7712,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-13B_20040922_04Q4STC13B-3,Sample-Routine,9/22/04,Surface,1.73,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-13B,Robin Bay,17.720983,-64.63515,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-36_20040923_04Q4STC36-3_6866,Sample-Routine,9/23/04,Surface,2.56,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-36,Long Reef Fore reef East,17.760283,-64.701033,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-7_20040325_04Q2STC7-3,Sample-Routine,3/25/04,Surface,2.16,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-7,Buck Island Anchorage,17.789817,-64.613667,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-34_20040923_04Q4STC34-3,Sample-Routine,9/23/04,Surface,3.83,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-34,St. Croix by the Sea,17.7677,-64.734283,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-14B_20040623_04Q3STC14B-3_6676,Sample-Routine,6/23/04,Surface,1.86,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-14B,Halfpenny Back reef,17.702633,-64.700667,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-17_20040623_04Q3STC17-3_6688,Sample-Routine,6/23/04,Surface,5.6,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-17,"HOVENSA West Turning Basin, NW Corner",17.69895,-64.754017,Fecal Coliform,13,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-19_20040323_04Q2STC19-3_5957,Sample-Routine,3/23/04,Surface,7.4,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-19,Krause Lagoon Channel,17.694382,-64.763883,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-35A_20040622_04Q3STC35A-3_6640,Sample-Routine,6/22/04,Surface,4.4,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-35A,LBJ (Pump Station) Outfall,17.759567,-64.71495,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-6_20040621_04Q3STC6-3,Sample-Routine,6/21/04,Surface,2.4,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-6,Buck Island Beach,17.786645,-64.627925,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-33A_20040622_04Q3STC33A-3_6646,Sample-Routine,6/22/04,Surface,1.61,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-33A,Salt River (Columbus Landing Beach),17.779917,-64.7586,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-39_20040325_04Q2STC39-3_6052,Sample-Routine,3/25/04,Surface,2.1,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-39,Altona Lagoon Inlet,17.749917,-64.696333,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-35A_20040923_04Q4STC35A-3,Sample-Routine,9/23/04,Surface,3.9,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-35A,LBJ (Pump Station) Outfall,17.759567,-64.71495,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-23_20040323_04Q2STC23-3,Sample-Routine,3/23/04,Surface,2.2,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-23,Public Dump,17.6941,-64.78355,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-43_20040914_04Q4STC43-3_6752,Sample-Routine,9/14/04,Surface,1.8,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-43,Water Gut Storm Drain,17.747483,-64.7074,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-14B_20040323_04Q2STC14B-3,Sample-Routine,3/23/04,Surface,1.6,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-14B,Halfpenny Back reef,17.702633,-64.700667,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-6_20040325_04Q2STC6-3,Sample-Routine,3/25/04,Surface,0.88,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-6,Buck Island Beach,17.786645,-64.627925,Fecal Coliform,0,#/100ml
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-42_20041117_05Q1STC42-3,Sample-Routine,11/17/04,Surface,3.8,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-42,Public Wharf,17.7476,-64.70335,Fecal Coliform,34,#/100ml
